Station: Mäkelänkatu  Periodically: 27/09/2018 00:01-11/10/2018 00:00  Type: AVG 1 Hr. [1 Hr.];;
;;
Date & Time;PM10;PM2_5
;ug/m3;ug/m3
03/10/2018 23:00;0.3;2.7
03/10/2018 24:00;0.6;2.2
04/10/2018 01:00;1.8;2.6
04/10/2018 02:00;2.5;3
04/10/2018 03:00;2.5;3
04/10/2018 04:00;2.1;3
04/10/2018 05:00;2.3;3.1
04/10/2018 06:00;3.1;4.2
04/10/2018 07:00;3.3;4.2
04/10/2018 08:00;4.5;4.8
04/10/2018 09:00;4.8;4.4
04/10/2018 10:00;5.4;3.7
04/10/2018 11:00;4.9;3.1
04/10/2018 12:00;4.9;2.2
04/10/2018 13:00;6.2;3.3
04/10/2018 14:00;7.8;4.7
04/10/2018 15:00;8.2;4.6
04/10/2018 16:00;6.8;3.6
04/10/2018 17:00;7.6;4.1
04/10/2018 18:00;9.8;4.9
04/10/2018 19:00;11.1;4.8
04/10/2018 20:00;16.7;7
04/10/2018 21:00;21.2;8.3
04/10/2018 22:00;17.1;7.5
04/10/2018 23:00;13.7;6.5
04/10/2018 24:00;17.5;7.1
05/10/2018 01:00;20.1;7.6
05/10/2018 02:00;16.2;6.6
05/10/2018 03:00;15;6
05/10/2018 04:00;11.3;4.5
05/10/2018 05:00;10.9;4.5
05/10/2018 06:00;5.6;0.2
05/10/2018 07:00;6.3;1.2
05/10/2018 08:00;10.4;5.2
05/10/2018 09:00;14.1;8.7
05/10/2018 10:00;11.6;7.6
05/10/2018 11:00;9.9;6.4
05/10/2018 12:00;7.8;4
05/10/2018 13:00;8;5.2
05/10/2018 14:00;7.3;4.6
05/10/2018 15:00;9;7
05/10/2018 16:00;8.3;6.6
05/10/2018 17:00;8.2;6.2
05/10/2018 18:00;8.9;6.3
05/10/2018 19:00;9.6;7
05/10/2018 20:00;9.2;7.7
05/10/2018 21:00;8.6;6.3
05/10/2018 22:00;10.1;6.7
05/10/2018 23:00;8.8;5.8
05/10/2018 24:00;6.8;4.8
06/10/2018 01:00;6.2;3.4
06/10/2018 02:00;9.2;5
06/10/2018 03:00;1;2.1
06/10/2018 04:00;1.8;1.3
06/10/2018 05:00;5.5;3.5
06/10/2018 06:00;3.3;1.9
06/10/2018 07:00;4.1;2.1
06/10/2018 08:00;7;4.5
06/10/2018 09:00;8.6;4.4
06/10/2018 10:00;10.8;4.8
06/10/2018 11:00;13.2;5.6
06/10/2018 12:00;13.4;5.7
06/10/2018 13:00;14.1;5.9
06/10/2018 14:00;15.7;5.9
06/10/2018 15:00;15;5.7
06/10/2018 16:00;13.3;4.8
06/10/2018 17:00;11.6;4.6
06/10/2018 18:00;12.4;5.1
06/10/2018 19:00;19.5;8.7
06/10/2018 20:00;15.7;8
06/10/2018 21:00;14.8;7.4
06/10/2018 22:00;13;7.1
06/10/2018 23:00;11.7;6.7
06/10/2018 24:00;11.5;6.4
07/10/2018 01:00;9.3;6.1
07/10/2018 02:00;6.8;5.1
07/10/2018 03:00;7.6;5.5
07/10/2018 04:00;7.6;4.5
07/10/2018 05:00;7.5;4.7
07/10/2018 06:00;5;3.3
07/10/2018 07:00;5.2;3.6
07/10/2018 08:00;5.2;4.2
07/10/2018 09:00;6.7;5.2
07/10/2018 10:00;7;5
07/10/2018 11:00;6.5;5.2
07/10/2018 12:00;6.9;4.9
07/10/2018 13:00;6.1;4.1
07/10/2018 14:00;5.9;4.1
07/10/2018 15:00;8.5;5.8
07/10/2018 16:00;8.3;5.8
07/10/2018 17:00;5.3;4.1
07/10/2018 18:00;5.9;4.9
07/10/2018 19:00;7.8;6
07/10/2018 20:00;12.1;8.8
07/10/2018 21:00;15.9;9.7
07/10/2018 22:00;12.3;8.5
07/10/2018 23:00;12.6;8.1
07/10/2018 24:00;9;6.8
08/10/2018 01:00;6;4.6
08/10/2018 02:00;4.9;4
08/10/2018 03:00;3.6;3.5
08/10/2018 04:00;2.5;2.8
08/10/2018 05:00;3.8;3.4
08/10/2018 06:00;5.4;2.8
08/10/2018 07:00;14.4;6.3
08/10/2018 08:00;19.1;7.4
08/10/2018 09:00;29.1;10.1
08/10/2018 10:00;33.7;11.8
08/10/2018 11:00;<Samp;11.8
08/10/2018 12:00;InVld;<Samp
08/10/2018 13:00;<Samp;<Samp
08/10/2018 14:00;InVld;7.5
08/10/2018 15:00;<Samp;4.5
08/10/2018 16:00;5.2;3.9
08/10/2018 17:00;6.4;3
08/10/2018 18:00;5.2;4.1
08/10/2018 19:00;5.6;4
08/10/2018 20:00;3.9;2.9
08/10/2018 21:00;3.5;3.4
08/10/2018 22:00;3;3.1
08/10/2018 23:00;2.5;2.7
08/10/2018 24:00;0.8;2.4
09/10/2018 01:00;0.6;2.4
09/10/2018 02:00;4.4;3.4
09/10/2018 03:00;3.5;3
